# ----------------------------------------
# All Web Site Data
# Overview
# 20191229-20210104
# ----------------------------------------

Month Index,Pageviews
0000,0
0001,0
0002,0
0003,0
0004,"4,095"
0005,413
0006,84
0007,14
0008,33
0009,34
0010,27
0011,32
0012,38
0013,0
,"4,770"
