# ----------------------------------------
# All Web Site Data
# Overview
# 20191001-20201001
# ----------------------------------------

Month Index,Pageviews
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,"4,095"
0007,413
0008,84
0009,14
0010,33
0011,34
0012,0
,"4,673"
