# ----------------------------------------
# All Web Site Data
# Overview
# 20190101-20210104
# ----------------------------------------

Month Index,Pageviews
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,"4,095"
0016,413
0017,84
0018,14
0019,33
0020,34
0021,27
0022,32
0023,38
0024,0
,"4,770"
